timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency
1460119376581,57,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,true,1707,1,1,0
1460119376641,226,Read ProductType import data from file,200,OK,CalcStorm - Lincoln tests 1-1,text,true,18815,1,1,0
1460119376869,27,Read Product import data from file,200,OK,CalcStorm - Lincoln tests 1-1,text,true,116262,1,1,0
1460119384088,807,Drop DB,200,OK,CalcStorm - Lincoln tests 1-1,text,true,351,1,1,807
1460119385397,1143,Product Type Create,200,OK,CalcStorm - Lincoln tests 1-1,text,true,781,1,1,1143
1460119387109,590,Product Type Import XLSX,200,OK,CalcStorm - Lincoln tests 1-1,text,true,19268,1,1,449
1460119388202,165,Create Supplier,200,OK,CalcStorm - Lincoln tests 1-1,text,true,831,1,1,165
1460119388869,150,Create Product ,200,OK,CalcStorm - Lincoln tests 1-1,text,true,694,1,1,150
1460119389522,155,Create Product Version,200,OK,CalcStorm - Lincoln tests 1-1,text,true,873,1,1,155
1460119390180,894,Product Type Import XLSX,200,OK,CalcStorm - Lincoln tests 1-1,text,true,116702,1,1,468
1460119391576,163,Create Product Version,200,OK,CalcStorm - Lincoln tests 1-1,text,true,1115,1,1,163
1460119391741,161,Update Product Version,200,OK,CalcStorm - Lincoln tests 1-1,text,true,1135,1,1,161
1460119392404,305,[TEST] Get Quote - 1 - Annual,200,OK,CalcStorm - Lincoln tests 1-1,text,true,873,1,1,285
1460119392985,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,true,137227,1,1,0
1460119393488,319,[TEST] Get Quote - 2 - SemiAnnual,200,OK,CalcStorm - Lincoln tests 1-1,text,true,871,1,1,319
1460119393817,0,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,true,137233,1,1,0
1460119394319,309,[TEST] Get Quote - 3 - Quarterly,200,OK,CalcStorm - Lincoln tests 1-1,text,true,871,1,1,309
1460119394638,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,true,137235,1,1,0
1460119395140,316,[TEST] Get Quote - 4 - MonthlyPac,200,OK,CalcStorm - Lincoln tests 1-1,text,true,872,1,1,316
1460119395466,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,true,137229,1,1,0
1460119395969,310,[TEST] Get Quote - 5 - Annual,200,OK,CalcStorm - Lincoln tests 1-1,text,true,871,1,1,310
1460119396288,0,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,true,137229,1,1,0
1460119396790,314,[TEST] Get Quote - 6 - SemiAnnual,200,OK,CalcStorm - Lincoln tests 1-1,text,true,1546,1,1,314
1460119397114,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,true,137237,1,1,0
1460119397617,310,[TEST] Get Quote - 7 - Quarterly,200,OK,CalcStorm - Lincoln tests 1-1,text,true,1539,1,1,310
1460119397936,0,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,true,137238,1,1,0
1460119398438,321,[TEST] Get Quote - 8 - MonthlyPac,200,OK,CalcStorm - Lincoln tests 1-1,text,true,1539,1,1,321
1460119398767,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,true,137235,1,1,0
1460119399270,306,[TEST] Get Quote - 9 - Annual,200,OK,CalcStorm - Lincoln tests 1-1,text,true,1525,1,1,306
1460119399584,0,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,true,137233,1,1,0
1460119400087,315,[TEST] Get Quote - 10 - SemiAnnual,200,OK,CalcStorm - Lincoln tests 1-1,text,true,1537,1,1,315
1460119400410,0,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,true,137242,1,1,0
1460119400913,332,[TEST] Get Quote - 11 - Quarterly,200,OK,CalcStorm - Lincoln tests 1-1,text,true,1546,1,1,332
1460119401252,0,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,true,137239,1,1,0
1460119401754,316,[TEST] Get Quote - 12 - MonthlyPac,200,OK,CalcStorm - Lincoln tests 1-1,text,true,1539,1,1,316
1460119402077,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,true,137234,1,1,0
1460119402580,589,[TEST] Get Quote - 13 - Annual,200,OK,CalcStorm - Lincoln tests 1-1,text,true,1528,1,1,589
