timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency
1461322126334,306,[TEST] Get Quote - 1343 - Quarterly,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,872,1,1,306
1461322127149,282,[TEST] Get Quote - 1344 - MonthlyPac,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,878,1,1,282
1461322127940,280,[TEST] Get Quote - 1345 - Annual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,878,1,1,280
1461322128729,285,[TEST] Get Quote - 1346 - SemiAnnual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,879,1,1,285
1461322129523,278,[TEST] Get Quote - 1347 - Quarterly,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,878,1,1,278
1461322130312,285,[TEST] Get Quote - 1348 - MonthlyPac,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,878,1,1,285
1461322131109,282,[TEST] Get Quote - 1349 - Annual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,878,1,1,282
1461322131899,286,[TEST] Get Quote - 1350 - SemiAnnual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,872,1,1,286
1461322132692,287,[TEST] Get Quote - 1351 - Quarterly,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,874,1,1,287
1461322133487,280,[TEST] Get Quote - 1352 - MonthlyPac,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,872,1,1,280
1461322134274,345,[TEST] Get Quote - 1353 - Annual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,871,1,1,345
1461322135127,278,[TEST] Get Quote - 1354 - SemiAnnual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,871,1,1,278
1461322135919,285,[TEST] Get Quote - 1355 - Quarterly,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,877,1,1,285
1461322136712,289,[TEST] Get Quote - 1356 - MonthlyPac,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,875,1,1,289
1461322137509,283,[TEST] Get Quote - 1357 - Annual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,871,1,1,283
1461322138299,280,[TEST] Get Quote - 1358 - SemiAnnual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,877,1,1,280
1461322139087,312,[TEST] Get Quote - 1359 - Quarterly,200,652.38,CalcStorm - Lincoln tests 1-1,text,false,1538,1,1,312
1461322139906,298,[TEST] Get Quote - 1360 - MonthlyPac,200,275.84375,CalcStorm - Lincoln tests 1-1,text,false,1543,1,1,297
1461322140710,287,[TEST] Get Quote - 1361 - Annual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,880,1,1,287
1461322141510,293,[TEST] Get Quote - 1362 - SemiAnnual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,877,1,1,293
1461322142310,288,[TEST] Get Quote - 1363 - Quarterly,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,872,1,1,288
1461322143105,296,[TEST] Get Quote - 1364 - MonthlyPac,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,879,1,1,296
1461322143910,284,[TEST] Get Quote - 1365 - Annual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,878,1,1,284
1461322144702,292,[TEST] Get Quote - 1366 - SemiAnnual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,874,1,1,292
1461322145503,285,[TEST] Get Quote - 1367 - Quarterly,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,877,1,1,285
1461322146302,287,[TEST] Get Quote - 1368 - MonthlyPac,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,879,1,1,287
1461322147096,285,[TEST] Get Quote - 1369 - Annual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,877,1,1,285
1461322147889,286,[TEST] Get Quote - 1370 - SemiAnnual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,878,1,1,286
1461322148683,290,[TEST] Get Quote - 1371 - Quarterly,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,879,1,1,290
1461322149481,290,[TEST] Get Quote - 1372 - MonthlyPac,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,879,1,1,290
1461322150280,1709,[TEST] Get Quote - 1373 - Annual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,872,1,1,1709
1461322152498,293,[TEST] Get Quote - 1374 - SemiAnnual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,872,1,1,293
1461322153306,282,[TEST] Get Quote - 1375 - Quarterly,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,871,1,1,282
1461322154095,277,[TEST] Get Quote - 1376 - MonthlyPac,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,874,1,1,276
1461322154880,308,[TEST] Get Quote - 1377 - Annual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,871,1,1,308
1461322155697,287,[TEST] Get Quote - 1378 - SemiAnnual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,877,1,1,287
1461322156493,298,[TEST] Get Quote - 1379 - Quarterly,200,1237.95,CalcStorm - Lincoln tests 1-1,text,false,1541,1,1,298
1461322157298,283,[TEST] Get Quote - 1380 - MonthlyPac,200,533.75,CalcStorm - Lincoln tests 1-1,text,false,1540,1,1,283
1461322158088,287,[TEST] Get Quote - 1381 - Annual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,880,1,1,287
1461322158890,286,[TEST] Get Quote - 1382 - SemiAnnual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,873,1,1,286
1461322159685,282,[TEST] Get Quote - 1383 - Quarterly,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,872,1,1,282
1461322160474,284,[TEST] Get Quote - 1384 - MonthlyPac,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,880,1,1,284
1461322161265,277,[TEST] Get Quote - 1385 - Annual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,878,1,1,277
1461322162050,294,[TEST] Get Quote - 1386 - SemiAnnual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,875,1,1,294
1461322162854,280,[TEST] Get Quote - 1387 - Quarterly,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,879,1,1,280
1461322163648,294,[TEST] Get Quote - 1388 - MonthlyPac,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,880,1,1,293
1461322164449,282,[TEST] Get Quote - 1389 - Annual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,873,1,1,282
1461322165238,279,[TEST] Get Quote - 1390 - SemiAnnual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,878,1,1,279
1461322166025,297,[TEST] Get Quote - 1391 - Quarterly,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,881,1,1,297
1461322166831,275,[TEST] Get Quote - 1392 - MonthlyPac,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,879,1,1,275
1461322167614,301,[TEST] Get Quote - 1393 - Annual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,879,1,1,301
1461322168423,328,[TEST] Get Quote - 1394 - SemiAnnual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,878,1,1,328
1461322169264,282,[TEST] Get Quote - 1395 - Quarterly,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,879,1,1,282
1461322170053,277,[TEST] Get Quote - 1396 - MonthlyPac,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,876,1,1,277
1461322170837,289,[TEST] Get Quote - 1397 - Annual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,873,1,1,289
1461322171635,286,[TEST] Get Quote - 1398 - SemiAnnual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,872,1,1,286
1461322172429,290,[TEST] Get Quote - 1399 - Quarterly,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,872,1,1,290
1461322173227,276,[TEST] Get Quote - 1400 - MonthlyPac,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,873,1,1,276
1461322174016,271,[TEST] Get Quote - 1401 - Annual,200,no_rates,CalcStorm - Lincoln tests 1-1,text,true,879,1,1,271
